0.00,0.00,101325.00
0.10,6206.22,85972.41
0.20,6151.86,85091.60
0.30,6100.39,84265.24
0.40,6051.71,83485.95
0.50,6005.57,82749.05
0.60,5961.74,82050.80
0.70,5920.03,81387.55
0.80,5880.25,80756.54
0.90,5842.30,80155.18
1.00,5806.01,79580.70
1.10,5771.23,79030.88
1.20,5737.83,78504.11
1.30,5705.73,77999.01
1.40,5674.84,77514.24
1.50,5645.08,77048.11
1.60,5616.42,76598.84
1.70,5588.79,76164.91
1.80,5562.13,75745.66
1.90,5536.32,75340.67
2.00,5511.31,74949.48
2.10,5487.04,74571.16
2.20,5463.50,74204.65
2.30,5440.66,73849.00
2.40,5418.50,73503.42
2.50,5396.97,73167.47
2.60,5376.02,72840.79
2.70,5355.62,72523.05
2.80,5335.72,72213.91
2.90,5316.32,71912.92
3.00,5297.38,71619.54
3.10,5278.90,71333.25
3.20,5260.87,71053.58
3.30,5243.26,70780.11
3.40,5226.05,70512.57
3.50,5209.22,70250.85
3.60,5192.74,69994.80
3.70,5176.59,69744.29
3.80,5160.75,69499.15
3.90,5145.21,69259.06
4.00,5129.97,69023.75
4.10,5115.01,68793.02
4.20,5100.32,68566.64
4.30,5085.89,68344.43
4.40,5071.71,68126.24
4.50,5057.76,67911.97
4.60,5044.04,67701.42
4.70,5030.55,67494.44
4.80,5017.27,67290.85
4.90,5004.20,67090.47
5.00,4991.34,66893.13
5.10,4978.67,66698.71
5.20,4966.20,66507.13
5.30,4953.90,66318.31
5.40,4941.77,66132.17
5.50,4929.81,65948.64
5.60,4918.00,65767.64
5.70,4906.34,65589.09
5.80,4894.83,65412.90
5.90,4883.46,65238.96
6.00,4872.22,65067.20
6.10,4861.12,64897.54
6.20,4850.14,64729.90
6.30,4839.29,64564.22
6.40,4828.56,64400.43
6.50,4817.94,64238.47
6.60,4807.44,64078.28
6.70,4797.04,63919.79
6.80,4786.75,63762.94
6.90,4776.56,63607.69
7.00,4766.47,63453.98
7.10,4756.47,63301.74
7.20,4746.56,63150.94
7.30,4736.73,63001.52
7.40,4726.99,62853.43
7.50,4717.33,62706.61
7.60,4707.75,62561.01
7.70,4698.24,62416.61
7.80,4688.81,62273.36
7.90,4679.45,62131.25
8.00,4670.16,61990.24
8.10,4660.93,61850.31
8.20,4651.76,61711.42
8.30,4642.64,61573.56
8.40,4633.59,61436.68
8.50,4624.59,61300.77
8.60,4615.64,61165.78
8.70,4606.74,61031.67
8.80,4597.90,60898.38
8.90,4589.10,60765.87
9.00,4580.35,60634.11
9.10,4571.66,60503.04
9.20,4563.01,60372.64
9.30,4554.40,60242.88
9.40,4545.84,60113.72
9.50,4537.32,59985.15
9.60,4528.85,59857.16
9.70,4520.41,59729.73
9.80,4512.01,59602.86
9.90,4503.64,59476.52
10.00,4495.30,59350.70
10.10,4487.00,59225.39
10.20,4478.72,59100.57
10.30,4470.47,58976.21
10.40,4462.24,58852.31
10.50,4454.04,58728.84
10.60,4445.87,58605.77
10.70,4437.71,58483.07
10.80,4429.58,58360.73
10.90,4421.46,58238.74
11.00,4413.37,58117.07
11.10,4405.29,57995.70
11.20,4397.23,57874.64
11.30,4389.19,57753.85
11.40,4381.16,57633.34
11.50,4373.15,57513.09
11.60,4365.14,57393.09
11.70,4357.15,57273.33
11.80,4349.17,57153.80
11.90,4341.20,57034.47
12.00,4333.24,56915.32
12.10,4325.28,56796.34
12.20,4317.34,56677.50
12.30,4309.39,56558.79
12.40,4301.45,56440.17
12.50,4293.52,56321.63
12.60,4285.59,56203.13
12.70,4277.66,56084.66
12.80,4269.74,55966.22
12.90,4261.82,55847.79
13.00,4253.89,55729.36
13.10,4245.97,55610.92
13.20,4238.04,55492.44
13.30,4230.12,55373.90
13.40,4222.19,55255.30
13.50,4214.25,55136.62
13.60,4206.31,55017.84
13.70,4198.37,54898.95
13.80,4190.42,54779.93
13.90,4182.47,54660.76
14.00,4174.51,54541.40
14.10,4166.54,54421.86
14.20,4158.56,54302.13
14.30,4150.58,54182.22
14.40,4142.57,54062.12
14.50,4134.55,53941.83
14.60,4126.52,53821.36
14.70,4118.46,53700.71
14.80,4110.39,53579.86
14.90,4102.29,53458.84
15.00,4094.16,53337.62
15.10,4086.01,53216.19
15.20,4077.83,53094.51
15.30,4069.62,52972.57
15.40,2389.51,28884.38
15.50,1406.40,18184.52
15.60,1382.80,17894.11
15.70,1360.10,17613.86
15.80,1337.83,17337.97
15.90,1315.96,17066.68
16.00,1294.48,16800.04
16.10,1273.39,16538.05
16.20,1252.67,16280.71
16.30,1232.31,16028.03
16.40,1212.31,15780.14
16.50,1192.64,15537.06
16.60,1173.31,15298.79
16.70,1154.31,15065.31
16.80,1135.62,14836.62
16.90,1117.24,14612.70
17.00,1099.21,14393.50
17.10,1081.51,14178.03
